Version,NTHREADS,NGENERACIONES,NPOBLACION,TiempoReal,TiempoUser,TiempoSys,UsageCPU,Throughput,Latencia
1,2,10,10,0.01,0.00,0.00,46%,10000.0000,0.00010000
1,2,10,100,0.03,0.00,0.00,40%,33333.3333,0.00003000
1,2,10,1000,0.02,0.00,0.00,41%,500000.0000,0.00000200
1,2,50,10,0.02,0.00,0.01,51%,25000.0000,0.00004000
1,2,50,100,0.18,0.00,0.06,36%,27777.7778,0.00003600
1,2,50,1000,0.14,0.03,0.02,41%,357142.8571,0.00000280
1,2,100,10,0.43,0.01,0.08,22%,2325.5814,0.00043000
1,2,100,100,0.02,0.00,0.01,56%,500000.0000,0.00000200
1,2,100,1000,0.36,0.05,0.07,35%,277777.7778,0.00000360
1,5,10,10,0.05,0.00,0.01,30%,2000.0000,0.00050000
1,5,10,100,0.04,0.00,0.01,37%,25000.0000,0.00004000
1,5,10,1000,0.07,0.00,0.01,37%,142857.1429,0.00000700
1,5,50,10,0.15,0.00,0.06,44%,3333.3333,0.00030000
1,5,50,100,0.25,0.00,0.11,49%,20000.0000,0.00005000
1,5,50,1000,0.19,0.03,0.05,46%,263157.8947,0.00000380
1,5,100,10,0.27,0.00,0.11,45%,3703.7037,0.00027000
1,5,100,100,0.05,0.00,0.00,28%,200000.0000,0.00000500
1,5,100,1000,0.24,0.04,0.07,49%,416666.6667,0.00000240
1,10,10,10,0.07,0.00,0.02,52%,1428.5714,0.00070000
1,10,10,100,0.05,0.00,0.03,68%,20000.0000,0.00005000
1,10,10,1000,0.07,0.00,0.01,30%,142857.1429,0.00000700
1,10,50,10,0.18,0.01,0.06,39%,2777.7778,0.00036000
1,10,50,100,0.15,0.01,0.05,42%,33333.3333,0.00003000
1,10,50,1000,0.17,0.02,0.10,74%,294117.6471,0.00000340
1,10,100,10,0.21,0.01,0.07,40%,4761.9048,0.00021000
1,10,100,100,0.15,0.01,0.07,53%,66666.6667,0.00001500
1,10,100,1000,0.21,0.06,0.08,69%,476190.4762,0.00000210
