Version,NTHREADS,NGENERACIONES,NPOBLACION,TiempoReal,TiempoUser,TiempoSys,UsageCPU,Throughput,Latencia
2,2,10,10,0.04,0.00,0.00,20%,2500.0000,0.00040000
2,2,10,100,0.00,0.00,0.00,66%,0.0000,0.00000000
2,2,10,1000,0.05,0.00,0.01,31%,200000.0000,0.00000500
2,2,50,10,0.03,0.00,0.00,39%,16666.6667,0.00006000
2,2,50,100,0.06,0.00,0.01,27%,83333.3333,0.00001200
2,2,50,1000,0.07,0.01,0.02,46%,714285.7143,0.00000140
2,2,100,10,0.02,0.00,0.00,30%,50000.0000,0.00002000
2,2,100,100,0.08,0.00,0.02,27%,125000.0000,0.00000800
2,2,100,1000,0.27,0.04,0.03,28%,370370.3704,0.00000270
2,5,10,10,0.12,0.01,0.03,40%,833.3333,0.00120000
2,5,10,100,0.09,0.00,0.02,34%,11111.1111,0.00009000
2,5,10,1000,0.05,0.01,0.00,30%,200000.0000,0.00000500
2,5,50,10,0.08,0.01,0.02,44%,6250.0000,0.00016000
2,5,50,100,0.10,0.00,0.03,34%,50000.0000,0.00002000
2,5,50,1000,0.33,0.02,0.09,35%,151515.1515,0.00000660
2,5,100,10,0.38,0.02,0.11,37%,2631.5789,0.00038000
2,5,100,100,0.21,0.02,0.05,36%,47619.0476,0.00002100
2,5,100,1000,0.55,0.06,0.09,29%,181818.1818,0.00000550
2,10,10,10,0.08,0.01,0.01,27%,1250.0000,0.00080000
2,10,10,100,0.03,0.00,0.01,42%,33333.3333,0.00003000
2,10,10,1000,0.03,0.00,0.01,53%,333333.3333,0.00000300
2,10,50,10,0.34,0.00,0.10,30%,1470.5882,0.00068000
2,10,50,100,0.27,0.00,0.05,23%,18518.5185,0.00005400
2,10,50,1000,0.30,0.04,0.07,39%,166666.6667,0.00000600
2,10,100,10,0.19,0.00,0.07,40%,5263.1579,0.00019000
2,10,100,100,0.41,0.01,0.14,37%,24390.2439,0.00004100
2,10,100,1000,0.36,0.05,0.10,43%,277777.7778,0.00000360
